index;team_name_home;season_id;wl_home;total_home;total_away;total_victoire
988;Phoenix Suns;2001;W;23;13;36
990;Phoenix Suns;2002;W;30;14;44
993;Phoenix Suns;2003;W;18;11;29
994;Phoenix Suns;2004;W;31;31;62
996;Phoenix Suns;2005;W;31;23;54
998;Phoenix Suns;2006;W;33;28;61
1000;Phoenix Suns;2007;W;30;25;55
1002;Phoenix Suns;2008;W;28;18;46
1004;Phoenix Suns;2009;W;32;22;54
1006;Phoenix Suns;2010;W;23;17;40
1008;Phoenix Suns;2011;W;19;14;33
1010;Phoenix Suns;2013;W;26;22;48
1012;Phoenix Suns;2014;W;22;17;39
1015;Phoenix Suns;2015;W;14;9;23
1017;Phoenix Suns;2016;W;15;9;24
1019;Phoenix Suns;2017;W;10;11;21
1021;Phoenix Suns;2018;W;12;7;19
1023;Phoenix Suns;2019;W;17;17;34
1024;Phoenix Suns;2020;W;27;24;51
1026;Phoenix Suns;2021;W;32;32;64
1028;Phoenix Suns;2022;W;28;17;45
1030;Portland Trail Blazers;2000;W;28;22;50
1032;Portland Trail Blazers;2001;W;30;19;49
1034;Portland Trail Blazers;2002;W;27;23;50
1036;Portland Trail Blazers;2003;W;25;16;41
1039;Portland Trail Blazers;2004;W;18;9;27
1041;Portland Trail Blazers;2005;W;15;6;21
1043;Portland Trail Blazers;2006;W;18;14;32
1044;Portland Trail Blazers;2007;W;28;13;41
1046;Portland Trail Blazers;2008;W;34;20;54
1048;Portland Trail Blazers;2009;W;26;24;50
1050;Portland Trail Blazers;2010;W;30;18;48
1052;Portland Trail Blazers;2011;W;20;8;28
1054;Portland Trail Blazers;2013;W;31;23;54
1056;Portland Trail Blazers;2014;W;32;19;51
1058;Portland Trail Blazers;2015;W;28;16;44
1060;Portland Trail Blazers;2016;W;25;16;41
1062;Portland Trail Blazers;2017;W;28;21;49
1064;Portland Trail Blazers;2018;W;32;21;53
1066;Portland Trail Blazers;2019;W;21;14;35
1068;Portland Trail Blazers;2020;W;20;22;42
1071;Portland Trail Blazers;2021;W;17;10;27
1073;Portland Trail Blazers;2022;W;17;16;33
1074;Sacramento Kings;2000;W;33;22;55
1076;Sacramento Kings;2001;W;36;25;61
1078;Sacramento Kings;2002;W;35;24;59
1080;Sacramento Kings;2003;W;34;21;55
1082;Sacramento Kings;2004;W;30;20;50
1084;Sacramento Kings;2005;W;27;17;44
1087;Sacramento Kings;2006;W;20;13;33
1088;Sacramento Kings;2007;W;26;12;38
1091;Sacramento Kings;2008;W;11;6;17
1093;Sacramento Kings;2009;W;18;7;25
1095;Sacramento Kings;2010;W;11;13;24
1097;Sacramento Kings;2011;W;16;6;22
1099;Sacramento Kings;2013;W;17;11;28
1101;Sacramento Kings;2014;W;18;11;29
1103;Sacramento Kings;2015;W;18;15;33
1105;Sacramento Kings;2016;W;17;15;32
1107;Sacramento Kings;2017;W;14;13;27
1108;Sacramento Kings;2018;W;24;15;39
1111;Sacramento Kings;2019;W;16;15;31
1113;Sacramento Kings;2020;W;16;15;31
1115;Sacramento Kings;2021;W;16;14;30
1116;Sacramento Kings;2022;W;23;25;48
1118;San Antonio Spurs;2000;W;33;25;58
1120;San Antonio Spurs;2001;W;32;26;58
1122;San Antonio Spurs;2002;W;33;27;60
1124;San Antonio Spurs;2003;W;33;24;57
1126;San Antonio Spurs;2004;W;38;21;59
1128;San Antonio Spurs;2005;W;34;29;63
1130;San Antonio Spurs;2006;W;31;27;58
1132;San Antonio Spurs;2007;W;34;22;56
1134;San Antonio Spurs;2008;W;28;26;54
1136;San Antonio Spurs;2009;W;29;21;50
1138;San Antonio Spurs;2010;W;36;25;61
1140;San Antonio Spurs;2011;W;28;22;50
1142;San Antonio Spurs;2013;W;32;30;62
1144;San Antonio Spurs;2014;W;33;22;55
1146;San Antonio Spurs;2015;W;40;27;67
1148;San Antonio Spurs;2016;W;31;30;61
1150;San Antonio Spurs;2017;W;33;14;47
1152;San Antonio Spurs;2018;W;32;16;48
1154;San Antonio Spurs;2019;W;19;13;32
1157;San Antonio Spurs;2020;W;14;19;33
1159;San Antonio Spurs;2021;W;16;18;34
1161;San Antonio Spurs;2022;W;14;8;22
1162;Seattle SuperSonics;2000;W;26;18;44
1164;Seattle SuperSonics;2001;W;26;19;45
1166;Seattle SuperSonics;2002;W;25;15;40
1168;Seattle SuperSonics;2003;W;21;16;37
1170;Seattle SuperSonics;2004;W;26;26;52
1172;Seattle SuperSonics;2005;W;22;13;35
1175;Seattle SuperSonics;2006;W;20;11;31
1177;Seattle SuperSonics;2007;W;13;7;20
1178;Toronto Raptors;2000;W;27;20;47
1180;Toronto Raptors;2001;W;24;18;42
1183;Toronto Raptors;2002;W;15;9;24
1185;Toronto Raptors;2003;W;18;15;33
1186;Toronto Raptors;2004;W;22;11;33
1189;Toronto Raptors;2005;W;15;12;27
1190;Toronto Raptors;2006;W;30;17;47
1192;Toronto Raptors;2007;W;25;16;41
1195;Toronto Raptors;2008;W;18;15;33
1196;Toronto Raptors;2009;W;25;15;40
1199;Toronto Raptors;2010;W;16;6;22
1201;Toronto Raptors;2011;W;13;10;23
1202;Toronto Raptors;2013;W;26;22;48
1204;Toronto Raptors;2014;W;27;22;49
1206;Toronto Raptors;2015;W;32;24;56
1208;Toronto Raptors;2016;W;28;23;51
